id,,brand,title,description,availability,condition,price,link,image_link,images_link,video_link,google_product_category,fb_product_category,sale_price
1,KTGAA1,NEXT,NX 303 Mini Ups,"Built In lithium Battery
Microprocessor controller guarantees high reliability
Auto start when plugged in
Manual power off switch
Overload and short circuit protection
Over charge and over discharge protection
User’s friendly multi-LED status indicators
Allows to set output voltage-9/12VDC via switch
5VDC USB Charger
Application : router, modem, wireless phone, CCTV",in stock,new,NPR 3750.00,http://ktg.aaja.co/,KTGAA1_C1.jpg,KTGAA1_D1.jpg~KTGAA1_D2.jpg~KTGAA1_D3.jpg,hZgTyoWaoLE,Electronics > Electronics Accessories > Computer Accessories,Clothing & Accessories > Clothing,NPR 3699.00
2,KTGAA2,NEXT,Wireless-N Adapter,"USB, Frequency 2.4-2.4835GHZ, 802.99,IEEE80211g, IEEE802.11b, CSMA/CA with ACK",in stock,new,NPR 459.00,http://ktg.aaja.co/,KTGAA2_C1.jpg,KTGAA2_D1.jpg~KTGAA2_D2.jpg~KTGAA2_D3.jpg,lIZ93mVE08o,Electronics > Electronics Accessories > Computer Accessories,,
3,KTGAA3,NEXT,Gigabit Lan,Exponentially Boost your internet speed with “next “ Usb to Gigabit Lan. Made for Serious Gamers and 4K streamers. No Drivers needed. Plug and Play in both Windows and mac.,in stock,new,NPR 1799.00,http://ktg.aaja.co/,KTGAA3_C1.jpg,KTGAA3_D1.jpg~KTGAA3_D2.jpg~KTGAA3_D3.jpg,dcbNiNgYN9E,Electronics > Electronics Accessories > Computer Accessories,,
4,KTGAB1,Track,TR 01 Mice WIRELESS,"Fast and Accurate, 1200 DPI Long Battery Life (Alkaline battery included), Long Range, Excellent Ergonomics",in stock,new,NPR 549.00,http://ktg.aaja.co/,KTGAB1_C1.jpg,KTGAB1_D1.jpg~KTGAB1_D2.jpg~KTGAB1_D3.jpg,sH2IJdl6rwg,Electronics > Electronics Accessories > Computer Accessories,,
5,KTGAB2,Track,TR 99 Mice,"नेपालमा सर्वाधिक रुचाईएको सबैको प्रिय Track को TR99 मोड़लका Sub Gaming माईसहरू फेरी उपलब्ध छन्। १६०० DPI resolution सम्म adjust गर्न मिल्ने, RGB कलरहरूले सुसज्जित, धेरै समय चलाउंदा पनि हात नगल्ने (Ergonomic) design भएको उच्च गुणस्तरको Track Tr99 नेपाल भरी उपलब्ध छन् । N-TECH अब गुणस्तरमाँ NO COMPROMISE.",in stock,new,NPR 349.00,http://ktg.aaja.co/,KTGAB2_C1.jpg,KTGAB2_D1.jpg~KTGAB2_D2.jpg~KTGAB2_D3.jpg,8j-m_frlLBg,Electronics > Electronics Accessories > Computer Accessories,,
6,KTGAB3,Track,TR 55 Mice,"N-TECH को नयाँ प्रस्तुती , उच्च गुणस्तरको Track TR 55 (AURA X ) Sub Gaming mice अब नेपाली बजारमा उपलब्ध छ । 1600 DPI सम्मको resolution adjust गर्न मिल्ने यस माइस धेरै समय काम गर्दा तथा गेम खेल्दा हात नदुःख्ने प्रबिधि अर्थात (Ergonomically)डिज़ाइन गरीएको छ । Track Tr55 AuraX प्रयोग गरी अब ढुक्क संग घन्टौं काम गर्नुहोस्। N-TECH अब गुणस्तरमाँ No Compromise.",in stock,new,NPR 499.00,http://ktg.aaja.co/,KTGAB3_C1.jpg,KTGAB3_D1.jpg~KTGAB3_D2.jpg~KTGAB3_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
7,KTGAB4,Track,TK 188 Kb,N-Tech को TRACK TK 111 RGB advance multimedia gaming keyboard अब Anti Ghost Technology सहित बजारमा उपलब्ध छ । यसका बत्तीहरू आफूले चाहेको बेला बाल्न र निभाउन तथा brightness बढाउन र घटाउन मिल्दछ । आकर्षक र  उच्च गुणस्तरका ABS material ले बनेको TRACK TK 111 का Keys हरू नरम र sound free छन् । यो किबोर्ड घण्टौ चलाउँदा पनि हात नदुःखाउने Ergonomic प्रबिधिले डीजाइन गरीएको छ । N-TECH अब Quality माँ NO COMPROMISE.,in stock,new,NPR 4300.00,http://ktg.aaja.co/,KTGAB4_C1.jpg,KTGAB4_D1.jpg~KTGAB4_D2.jpg~KTGAB4_D3.jpg,XlCp2sHEyBg,Electronics > Electronics Accessories > Computer Accessories,,
8,KTGAB5,Track,TK 111 Kb,"N-TECH नेपालको नौलो प्रस्तुति Track TK 188 Mechanical Gaming Keyboard नेपाली बजारमाँ आएको छ । अत्याधुनिक नयाँ features ले सुसज्जित , २० वटा भन्दा बढ़ी लाइट मोड़ भएको , हरेक Keys हरूलाई आफूले चाहे अनुसार customize गर्न मिल्ने, Gamers हरूको लागी N-Injection Key cap जस्तो नव feature भएको Track Gaming Keyboard का हरेक Keys uniquely Engineer गरीएको छ !  Unleash the True gamer within with Track TK 188 . N-TECH अब गुणस्तरमाँ NO COMPROMISE.",in stock,new,NPR 2600.00,http://ktg.aaja.co/,KTGAB5_C1.jpg,KTGAB5_D1.jpg~KTGAB5_D2.jpg~KTGAB5_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
9,KTGAB6,Track,Gaming Mousepad,"RGB Spectrum Mode Selector Button, 	On-Board Memory for Spectrum Mode, 	14 RGB Spectrum Mode, Size: 800 x 300 x 4mm",in stock,new,NPR 1999.00,http://ktg.aaja.co/,KTGAB6_C1.jpg,KTGAB6_D1.jpg~KTGAB6_D2.jpg~KTGAB6_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
10,KTGAB7,Track,Turbo M5 cooler with display ,"Super Silent
Compatible with laptops up to 17 inch
Blue LCD Led Control pannel
2 USB Port
4 Adjustable Position
4 fans for faster cooling
Support 13,14, 15.6 and 17 inch laptops",in stock,new,NPR 1899.00,http://ktg.aaja.co/,KTGAB7_C1.jpg,KTGAB7_D1.jpg~KTGAB7_D2.jpg~KTGAB7_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
